Time,Voltage
351.87844014167786,44.16
352.9049735069275,44.269999999999996
353.94158816337585,44.37
354.9859142303467,44.48
356.01254987716675,44.589999999999996
357.0568115711212,44.699999999999996
358.08853816986084,44.81
359.13644218444824,44.91
360.1641445159912,45.019999999999996
361.20266580581665,45.13
362.2534418106079,45.24
363.2820875644684,45.339999999999996
364.30507826805115,45.449999999999996
365.35499000549316,45.56
366.3803958892822,45.66
367.4248888492584,45.769999999999996
368.4582476615906,45.879999999999995
369.50136852264404,45.98
370.53222393989563,46.089999999999996
371.57093954086304,46.199999999999996
372.6184284687042,46.300000000000004
373.6527097225189,46.41
374.68834471702576,46.510000000000005
375.7363016605377,46.620000000000005
376.7628402709961,46.730000000000004
377.8055958747864,46.83
378.83062863349915,46.940000000000005
379.87725281715393,47.04
380.91992568969727,47.15
381.9403614997864,47.25
382.9903259277344,47.36
384.0316400527954,47.46
385.0614974498749,47.57
386.0998749732971,47.669999999999995
387.1442358493805,47.78
388.1699116230011,47.879999999999995
389.21658849716187,47.989999999999995
390.25329327583313,48.09
391.29404520988464,48.2
392.33428621292114,48.300000000000004
393.3741590976715,48.410000000000004
394.41257667541504,48.51
395.44710397720337,48.61
396.5030608177185,48.72
397.52658772468567,48.82
398.5648498535156,48.92
399.6093430519104,49.029999999999994
400.6408517360687,49.13
401.67041993141174,49.24
402.7171893119812,49.34
403.75139594078064,49.44
404.7765564918518,49.55
405.8210325241089,49.65
406.8653211593628,49.75
407.90523862838745,49.85
408.94606351852417,49.96
409.97281646728516,50.06
411.0139265060425,50.160000000000004
412.05591893196106,50.26
413.08166790008545,50.37
414.12674021720886,50.47
415.1673023700714,50.57
416.2024791240692,50.67
417.24567770957947,50.77
418.2743191719055,50.88
419.31248569488525,50.98
420.361581325531,51.08
421.3810067176819,51.18000000000001
422.4314556121826,51.28
423.46067667007446,51.38
424.5038869380951,51.49
425.535001039505,51.589999999999996
426.5692505836487,51.69
427.6135833263397,51.790000000000006
428.65110206604004,51.89
429.6973419189453,51.99
430.7312307357788,52.089999999999996
431.7864375114441,52.19
432.8134231567383,52.290000000000006
433.8542945384979,52.39
434.8952491283417,52.49
435.92668557167053,52.589999999999996
436.9645688533783,52.699999999999996
438.0033528804779,52.79
439.0419623851776,52.900000000000006
440.07740473747253,53.0
441.11051845550537,53.089999999999996
442.15345644950867,53.19
443.19819712638855,53.29
